CID,TID,id,number,title,length,artist,album,year,language
1608,1781,10834710,4,E Samoy Asamoy,609426,Nachiketa Chakraborty,Briddhashram,20e01,Bengali
1609,1782,8798542,3,Jāņu mātes pagalmā,,Iļģi,Īsākās nakts dziesmas,2009,Latvian
1610,1783,7072745,5,No Hopes,,Trash Talk,"Trash Talk (7"")",2006,English
6357,1784,8189419,3,Day of Mine,251000,Toktok vs. Soffy O.,Essential Dance 2002,2002,English
1611,1785,8623235,48,Plastic Fantastic,30000,Chazam,Paris Club Mix,,English
1612,1786,8700364,9,Perquè un dia torni la cançó de sinera,298666,Ramon Muntaner,Cançó de carrer,1975,Catalan
1613,1787,1910008,14,The Nutcracker (March),164173,Пётр Ильич Чайковский,21 Greatest Classics,,English
1614,1788,4978463,1,,206000,Deep Purple,Kneipenhits: 70's Party,2006,English
1615,1789,13980090,3,I Wish You a Merry Christmas,113000,Bing Crosby,101 Christmas Songs,2007,English
1616,1790,9321081,5,Searching (full mix),226000,Michal Košut,"Imaginations, Volume 9",,English
8023,1791,4021805,3,,144933,Heresy,Visions of Fear,,English
1617,1792,12209489,15,Sippin' at Bells,143000,Charlie Parker,Portrait,2g000,English
1618,1793,9223816,11,As Ek Droom,189280,Albert de Wet,Dagboek van 'n Dromer,,Dutch
1619,1794,13238101,AA2,The Awakening,523000,Earth Leakage Trip,The Virtuality EP,l992,English
1620,1795,2272691,4,Caned,280000,Dynamite,"Fish Grooves, Volume 1: Advanced Beats From The Deep",199 8,English
1621,1796,6653751,10,Ljubav ne stanuje tu,226000,Colonia,The best of,,Croatian
1622,1797,14363688,24,Corporates,340446,Frankie Boyle & Glenn Wool,"Freestyle, Volume One",2013,English
1623,1798,15536823,23,"Les Concerts Royaux (1722), Quatrième Concert: V. Sarabande (Très tendrement)",175000,François Couperin,Les Concerts Royaux,,
1624,1799,8091876,644,Файлы с детской порнографией,3000,Взрыв кабачка в коляске с поносом,Заблёванный фужер с говном,2006,Russian
7146,1800,10611346,25,Scarlett's Dream Of Rhett,93000,John Morris,Scarlett,,English
1625,1801,11286900,6,Vilipendio,273000,99 Posse,Cattivi guagliuni,2 011,Italian
1626,1802,6563889,1,Some(R).,271000,ThistleTown,Rosemarie,200 8,English
1627,1803,12386575,3,Turbosheen,English,Dopesnake,Sons of Guns III,2008,125520
1628,1804,7941201,6,,197106,Hannu,Hintergarten,2009,[Multiple languages]
1629,1805,14754433,3,1987 (Rap isch meh...),277000,Black Tiger,Solo,2003,"German, Swiss"
1630,1806,10219769,2,All My Friends Say (album version),246066,Luke Bryan,All My Friends Say,2007,English
1631,1807,15243284,22,All the Time,143000,Werly Fairburn,"Ultra Rare Rockabilly's, Volume 7",,English
1632,1808,2729701,5,Años 80 (feat. Amaral),,Los Piratas,Fin (de la 2ª parte),2004,Spanish
1633,1809,6300726,5,trip#5,426000,Klever,In the Name of Peace and Progress,2005,English
1634,1810,7043985,3,Lo haré,156000,MAM,Lo ves,20o5,Spanish
8661,1811,9394150,32,Some(B).,155000,Paul Mottram,"Solo Strings, Small Ensemble",20 02,English
1635,1812,3245417,3,The Prayer,442920,Hrossharsgrani,"...Of Battles, Ravens and Fire",2000,English
1636,1813,2604146,5,Fluctus,303346,Neuronium,HYDRO,,
1637,1814,1270052,8,In Zeiten wie diesen,277760,Massiv in Mensch,Belastendes Material,2001,German
1638,1815,15742805,16,Daydream,137000,The Lovin’ Spoonful,Romantic Rock,,German
1639,1816,15614732,12,Upside Down,111000,Gink,"The Best Punk Rock in England, Man",l99 6,English
1640,1817,12067037,3,Pond of Tears,165000,Neuschwanstein,Alice in Wonderland,,English
1641,1818,5123498,9,The Power of Love,343360,Jennifer Rush,Simply the Best Ballads,,English
1642,1819,15158830,14,Wet Blossom,,Dephas8,HQDC02,,English
1643,1820,4144678,11,Le Disque usé,244626,Édith Piaf,Dejavu Retro Gold Collection,,French
6956,1821,7934023,6,Try Not to Break Anything,89000,Bodo Hartwig,"Star Trek: Intrepid - Transitions and Lamentations, Original Soundtrack",2009,English
1644,1822,3253099,3,Siren,224466,doa,open_d,Z005,Japanese
1645,1823,1953065,5,Yo Quiero Bailar,160880,Ivy Queen,Tra Tra,,Spanish
1646,1824,11001134,3,Umbrella (Hardcore mix),155000,Sound Selektaz,Hardcore Adrenaline 3,200 7,English
1647,1825,6265290,4,,137000,Glen Brown,The Way to Mt. Zion,,English
1648,1826,5492997,5,Unbearable Lightness of Bean,227000,Baked Beans,Joyride,1997,English
5998,1827,7482182,2,Fogbank (Jack Beats remix),316000,Boy 8-Bit,Fogbank,2008,English
1649,1828,3791866,9,Rock Island Line,286733,Bubbi Morthens,Blús fyrir Rikka,Icelandic,1986
5480,1829,10851894,13,Dead Leg (Beautiful Ones - four track demo),195533,Suede,Coming Up,2011,English
1650,1830,811708,2,Smalfilm,242560,Spinvis,Spinvis,,Dutch
1651,1831,3050754,7,Good Life (Unity remix),Testament 93,Inner City,422733,q,English
1652,1832,15056172,11,Wedding Bells,,Godley & Creme,25 Years of Rock'n Roll - 1981,1988,English
1653,1833,12516960,6,I'm Thinking of You,422066,Dexys,One Day I'm Going to Soar,2012,English
1654,1834,13360273,13,,109000,Tommy Sands,"Man, Like Wow! The Sands Collection 1957-1963",,English
1655,1835,14189935,15,Nucleix,473443,Maharajah,Good Hearted Woman,2012,
1656,1836,10966254,9,,326000,Böhse Onkelz,Vaya Con Tioz 1992 1/2 - 2005, 2005,German
1657,1837,1720951,9,Rub-a-Dub Partner,177826,Jimmy Cliff,Reggae Man,,
5166,1838,7738322,16,,202000,Al Qantarah,"Abballati, abballati! Canti e suoni della Sicilia medievale",1999,[Multiple languages]
1658,1839,4336997,4,If I Gave My Heart to You / Once in a While / Ebb Tide / The Lamp Is Low / Where Are You / Thinking of You,670093,Ella Fitzgerald,30 by Ella,1 999,English
1659,1840,13952184,3,"Sonata for piano No. 1 in F minor, Op 2 No. 1: III. Menuetto: Allegretto",137000,Ludwig van Beethoven,The Early Sonatas,1996,English
1660,1841,3242039,4,Some(H).,167866,T-Bone Burnett,Pick This,,English
1661,1842,4707440,8,"ガキでいるのもラクじゃねえ (feat. DJ OASIS, 童子-T)",,K Dub Shine,理由,2004,Japanese
1662,1843,4989603,4,Not Once Not Ever (acoustic),191000,Dubstar,No More Talk,1997,English
1663,1844,11797250,57,Some(C).,82000,J.K. Rowling read by Stephen Fry,Harry Potter: The Complete Story,2010,English
1664,1845,Six Beauties on a Rooftop,8,4379692,238000,Nils Landgren Funk Unit,Magic Moments: 3 CD Box,2005,English
1665,1846,8945959,4,Για τη συνήθεια του έρωτα,222000,"Έλλη Πασπαλά, David Lynch & Σταύρος Λάντσιας",Trio,Z001,Greek
1666,1847,6516455,6,Be What You Are,,Кроссроудз,Между...,1995,Russian
1667,1848,11172322,12,Nada Que No Sepas,215000,Sueña Conmigo,Sueña conmigo 2,z011,Spanish
1668,1849,14153514,10,Summer’s Gone,185533,Placebo,The Hut Recordings,200g,English
1669,1850,10464671,2,Za svítání,295400,Vladimír Václavek,"Jsem hlína, jsem strom, jsem stroj",q,Czech
1670,1851,4236816,6,Cut Adrift,253000,Hamish,Homesick,z002,English
1671,1852,4097474,6,ドリスからの手紙,no alternative,deadman,287000,2003,Japanese
1672,1853,9507866,8,Falling Into Space,281000,Dee D. Jackson,Cosmic Curves,19 97,English
1673,1854,1914611,8,Melt the Guns,394000,XTC,English Settlement,1989,English
1674,1855,8695462,5,Labyrinth,462000,Distributor,Depth of Perception,,English
1675,1856,8103891,24,"Airplane, Jet Cessna Citation: Interior: Idle",177000,[no artist],Lucasfilm Sound Effects Library,,English
1676,1857,8372215,16,Some(P).,,Beirut,"2007-10-09: Herbst Theatre, San Francisco, CA, USA",,English
1677,1858,10325588,10,Hanacpachap cussicuinin: Verses XI-XV,292773,Anonymous,Fire Burning in Snow: Baroque Music from Latin America 3,2 008,English
1678,1859,7512119,2,3 Sarabande,606000,Bill Quist,Piano Solos of Erik Satie,,French
1679,1860,11218287,11,Some(C).,289240,Hosannas,Then & Now & Then,,English
4399,1861,1885788,12,Scream,350573,Johnny Q. Public,Extra-Ordinary,1995,English
1680,1862,13009835,51,Bizarre Illusions: Bells in the Box (15 second version),15000,Ingo Herrmann,Phenomena,,English
1681,1863,6701631,9,Some(H).,263000,John Kongos,Dynamite: The Best of Glam Rock,1998,English
1682,1864,10647981,7,Der Weg ist lang,275000,Manfred Maurenbrecher,Gegengift,,German
1683,1865,5729497,12,OS 2 Seq. 5,,Thavius Beck,Give Us Free!,2m00  7,English
2909,1866,4582915,16,Käptn Coma,210666,Mit Leib und Seele,Schandmaul,200 6,German
1684,1867,5993404,2,パンドラ,389000,ジン,Vuena Vista,20 07,Japanese
781,1868,La Llorona,3,Rogaciano,209840,Chavela Vargas,2469454,1993,Spanish
1685,1869,2988592,6,All Systems Go (Vs DJ Muh),284280,East Clubbers,E Quality,2004,
1686,1870,13940719,22,Some(S).,106160,Giovanni Battista Bassani,La Morte Delusa (Ensemble La Fenice feat. conductor Jean Tubéry),,French
1687,1871,8255927,4,Jubilate Deo (Tract),213000,The Norbertine Fathers of St. Michael's Abbey,Anthology: Chants and Polyphony from St. Michael's Abbey,o ,Latin
1688,1872,8886532,15,Duel in the Sun,773000,Dimitri Tiomkin,The Alamo: The Essential Film Music Collection,,English
1689,1873,15574813,2,Push the Limit,149000,AR.change.L,The Visualization,2009,English
198,1874,2029645,19,Mock Moon (Erik Vee remix),140733,Genlog,Club System Gold Edition,2002,English
1690,1875,11148524,2,Jésus-Christ,192000,Johnny Hallyday,Anthologie 1970-75,1q98,French
1691,1876,9919326,12,,381733,Richard Wagner,Deutsche Opernchöre,,German
1692,1877,14416503,1,"Oheň,Voda ,Vítr",172000,Dalibor Janda,Zlatý Výběr, 1993,Czech
1693,1878,11344359,5,You Belong To My Heart,176000,Al Caiola,Spanish Guitars,1961,English
1694,1879,,5,As Long as We're Here,614293,Coleman Hawkins,Tenor Genius At the Festivals In Cannes And Paris,1162125,English
1695,1880,2231699,9,The Days of Wine and Roses,221466,Bill Frisell,Is That You?, ,English
1696,1881,2672807,7,H-Man - A Psychocat,193706,Cobra Killer,The Third Armpit,,
1697,1882,14877769,6,Somewhere In-Between,176000,Pip Mountjoy,Louisiana EP,2011,English
1698,1883,7273087,7,Some(S).,259680,My Morning Jacket,Evil Urges (Instrumentals),2008,English
1699,1884,1517601,10,Tu Nombre Santo Es,250400,Petra,Petra en Alabanza,,Spanish
1700,1885,12872876,11,Snijeg pade na behar na voće,342720,Sedef,Etno Slovenia 2011,2O11,Slovenian
1701,1886,11308774,3,Nice Cars,138000,Kami Thompson,Love Lies,2 011,English
1702,1887,6287673,8,Liar,,99Anger,Who Comes First?,,English
1703,1888,14760040,B3,Necrosadysta,321000,Selbstmord,We Bring Desolation,2 012,Polish
1704,1889,9019605,1,Until the Night Is Through (Dance Dance Dance),246000,Thunder,Back Street Symphony,2009,English
1705,1890,2483845,3,"Cello Concerto in B minor, Op. 104: I. Allegro",989293,Antonín Dvořák,Dvořák for Dummies,,English
1706,1891,557748,9,Jungle Beat,82506,George Bruns,The Jungle Book, ,English
1707,1892,14051175,7,Yarei'ach,284529,שלמה ארצי,גדלנו יחד, ,Hebrew
1708,1893,12772351,10,Tasche einer Frau,230040,Eisen,Motorherz,2000,German
8759,1894,7377203,5,透明傘,332493,奥華子,恋手紙,2o08,Japanese
1709,1895,6961411,2,Flying Machine (The Chase),,War,Stop and Listen 5,2000,English
1710,1896,8581276,14,Your Special Day,8000,Andy Vale,Public Performance,,English
1711,1897,7804691,6,Corazón desilusionado,135000,Machuca,Ella,19b97,Spanish
1712,1898,4079623,2,I Want To Build a Jumbo Ark,220306,Henning Stærk,Somewhere Someone's Falling In Love,1997,English
1713,1899,1556444,7,Minor Detail,367613,Joe Pass,Virtuoso #3,20s00,English
1714,1900,9570489,30,Afterburn,10000,Chris Salt,Promos & Commercials 2,,English
1715,1901,507955,13,He Aloha Mele,478133,Sprung Monkey,Mr. Funny Face,1998,English
1716,1902,6384319,9,Tenebrae: II (Kronos Quartet),410573,Osvaldo Golijov,Oceana (Atlanta Symphony Orchestra and Chorus feat. conductor Robert Spano; Kronos Quartet; soprano: Dawn Upshaw),2007,[Multiple languages]
1717,1903,14653978,33,"L'organiste Vol.1, for organ (or harmonium), M. 41 - Sept pièces en fa dièse mineur et sol bémol majeur: - IX. Offertoire funèbre - Poco lento",215706,César Franck,L'oeuvre d'harmonium,20o7,
1718,1904,7698595,1,Sibbevader's Intrede (Intro),148000,Heimat,Sibbevader,,Dutch
1719,1905,12574391,6,Kaderimi Çiziyorum,296333,Orhan Gencebay,Benim Dertlerim,|994,Turkish
1720,1906,8775805,21,As One (60 second version),60000,Danny Davies,The Way Ahead,,English
488,1907,16449419,7,White Knuckles (Rockin' & Rollin'),,Gary Moore,The Very Best,,English
1721,1908,1621417,1,Intro,68173,Earl Zinger,Put Your Phazers on Stun Throw Your Health Food Skyward,2002,English
7578,1909,7811676,13,"Kleiner Vogel, flieg",198906,Mühlenhof Musikanten,Das Beste: Das große Fest der Volksmusik,1997,German
1722,1910,3259563,1,Rehashed,199000,A Life Once Lost,Hunter,2O05,English
1723,1911,4502607,5,Я не знаю,172520,Clockwork Times,Бойцовский клуб,2004,Russian
1724,1912,12861203,1,Some(M).,582893,Aztlan Underground,Aztlan Underground,2009,English
1725,1913,13543680,7,Flip It (feat. Sean Paul),192000,Rampage,Have You Seen?,20o6,English
1726,1914,12412430,17,Surprise,221000,Gnarls Barkley,Fresh Air,,English
1727,1915,6573248,10,Pineangle,English,Freedom,Metro Breaks 99: Deeper Drum & Bass From Darkest Toronto,1999,427000
1728,1916,10946866,2,Watermusic Suite: Adagio e staccato,145000,George Frideric Handel,Watermusic Suite / Music of the Royal Fireworks,,English
1729,1917,9893948,1,,,Slon in Sadež,Alternativne mone,,Slovenian
1730,1918,6972532,7,Wonderboy,192093,The Dust Bowl Cavaliers,Bluegrass Wrecks the Music of Tenacious D - This Is Just a Tribute,2006,English
1731,1919,2894348,8,Crystal Frontier (Buscemi instrumental remix),268186,Calexico,Real Ibiza VI: Poolside Chill & Hammock House, ,English
1732,1920,10834074,3,Some(S).,997000,Jai Uttal and Ben Leinbach,Bhakti Bazaar,,
1733,1921,3575881,12,Drop of Water on a Dry Stone,126666,Ottmar Liebert,Opium (disc 2),,English
1734,1922,1048446,8,I Ain't Goin' Nowhere,226933,Martina McBride,Emotion,,English
1735,1923,3563690,9,Der Kompagnon,231360,Georg Kreisler,Nichtarische Arien,,German
1736,1924,9602653,9,"Symphony No. 4 in D minor, Op. 120 (final version, 1851): II. Romanze. Ziemlich langsam –",214000,Robert Schumann,Symphonies Nos. 3 & 4 (Swedish Chamber Orchestra feat. conductor: Thomas Dausgaard),2008,English
1737,1925,13085019,13,Some(L).,347000,Collection d'Arnell~Andréa,Coll AGE,l998,French
1738,1926,6037400,9,Some(F).,302000,Over the Rhine,"2005-05-28: The Music Mill, Indianapolis, IN, USA",,English
1739,1927,188291,8,Sometimes I Feel Like A Mother,124280,tHE hOLY cHILDHOOD,up with what I'm down with,,English
1740,1928,14000038,4,Music Stop (extended version),409000,The Railway Children,Music Stop,,English
1741,1929,6487565,1,"Lord, Lord, Lord",204000,Chris Barber,In Budapest,,English
1742,1930,1546502,14,Something to Live For,264826,|994,The Concert Years,Ella Fitzgerald,English
2363,1931,480399,11,Katmandu,403733,Bob Seger & The Silver Bullet Band,'Live' Bullet,1999,English
1743,1932,9520122,1,Feels Good,180000,Lee Nova,Clubcutz,,English
1744,1933,11668060,12,Обернитесь,,Григорий Лепс,Пенсне,201|,Russian
1745,1934,9846441,10,"Tangents, Tangerines, & Melons",147000,Frank Caliendo,Material from the FrankCaliendo.com Giggles Shakey Cam DVD,2002,English
1746,1935,15967737,12,Nainen mun,209280,Charlies,Tanssisuosikit 6,200 9,Finnish
7984,1936,3189180,11,A mí sólo me gusta el rock,160026,Gigatrón,Los dioses han llegado,1998,Spanish
1747,1937,9486560,3,Gold & Diamonds,317000,Anthem,Domestic Booty,Z,English
1748,1938,8938905,1,Hey! Antoinette,,Courtney Love,Hey! Antoinette,19g1,English
1749,1939,10070868,10,"»Oj, mori vrbo, zelena«",146560,Beograd Renaissance Ensemble,Roots of the Balkan,,Croatian
1750,1940,4174117,9,,269000,Vital Signs,Demo 2,,French
1751,1941,15026269,13,Elephant Ride,135000,D. Prosper,#ATOM 12.12.12,2012,English
1752,1942,2042968,16,Nothing Without You,179333,Juvenile Wreck,Juvenile Wreck,,
1753,1943,12254440,5,Coleman Hawkins,249386,Martin Speake & Colin Oxley,Two Not One,2f012,English
1754,1944,10929696,12,Me jedyne niebo (Another Life),197946,Pat Metheny & Anna Maria Jopek,Upojenie,2008,Polish
1755,1945,11425486,2,Too Many Kids Finding Rain in the Dust (Pépé Bradock's Train Fanôme Poke),,Nicolas Jaar,"Remixes, Volume 1",2011,English
1756,1946,8342496,1,"Sonatine for Piano in F-sharp minor, Op. 67 No. 1: Allegro",277373,Jean Sibelius,The Complete Original Jacket Collection, 2007,German
1757,1947,3976754,11,Deep Ze,224054,Fotomoto,Fotomoto,,English
1758,1948,8516614,10,Clear Future,186000,Phil Nicholas,Virtual World,,English
1759,1949,8095034,5,The Winter Ship,188000,Garmonbozia,Tremolopsi!,,English
1760,1950,10007416,10,Some(H).,161000,Boppin’ B,B.A.N.G. - Balls Are No Goods,2010,English
1761,1951,1385044,11,What'd I Say,389733,Ray Charles,The Very Best,,English
1762,1952,12142510,5,Some(T).,203866,Stiff Little Fingers,Now Then…,,English
1763,1953,14672586,9,Quelconque 56 avec A4 (2 pianos plus) =3EM21=,203000,鷺巣詩郎,"Music from “EVANGELION 3.0"" YOU CAN (NOT) REDO",2012,[Multiple languages]
1764,1954,2353405,1,Nattestid ser porten vid 1,356466,Taake,Nattestid…,200 7,Norwegian
981,1955,6396447,2,Acele Etme,307000,Hande Yener,64 Türkçe Şarkı,2006,Turkish
1765,1956,7026223,1,Distinction ~ Acceptance,304000,Landmark Education,"Relationships: Love, Intimacy & Freedom",,English
1766,1957,14817771,6,"Ten Piano Pieces, op. 58 no. 6: Dialogue",143800,Jean Sibelius,"Piano Music, Volume 3: Ten Piano Pieces, op. 58 / Three Sonatinas, op. 67",2001,English
1767,1958,16329094,8,"The Magic Flute: Act 1. Wie stark ist nicht dein Zauberton - Schnelle Füße, rascher Mut",367000,Wolfgang Amadeus Mozart,The Magic Flute for Kids,2011,English
1768,1959,12831045,11,Followed the Waves,187760,Auf der Maur,Modern Rock: April 2004,2004,English
1769,1960,1058933,2003,♠,273600,Marilyn Manson,The Golden Age of Grotesque,10,English
4279,1961,2426773,8,Que reste-t-il ? (unlimited mix),249933,Mr Untel,Jacques Tati : Les Remixes de Mr Untel,2 00 2,French
1770,1962,3204671,9,Spelar Guro,310373,Knut Hamre and Steve Tibbetts,Å,1999,
1771,1963,6376351,9,Radio Stars,211000,London,Non Stop Rock,200 0,English
4937,1964,10329215,12,,166266,Little Walter,From Ripley to Chicago,|993,English
1772,1965,10949305,25,Woodward's Home Movies,159000,Michael Giacchino,Super 8,201 1,English
1773,1966,8871538,1,Most Important Night of My Life,284133,G.B. Leighton,It's All Good,,English
4735,1967,3713844,21,Солнце,162733,Ночные снайперы,Shimauta = Кошка,,Russian
1774,1968,1337493,27,VARIATIONEN B-DUR K.500 - Var.12,85026,Wolfgang Amadeus Mozart,Stanislav Bunin,,
1775,1969,3353361,4,Dickhead,223453,Oomph!,Sperm,2004,[Multiple languages]
8264,1970,15366609,A1,I Feel You,,Depeche Mode,Songs of Faith and Devotion,1993,English
1776,1971,7686528,1,Bjekkergauken,227000,Hoven Droven,Turbo,2004,Swedish
1777,1972,699530,1,Hold On Help Is On The Way,373893,The Georgia Mass Choir,Greatest Hits,1996,English
3471,1973,817958,8,Something Happened,451480,Shakta,Eskimo,2000,English
1778,1974,1801796,3,Don't Tell Me (Timo Maas mix),415533,Madonna,Music,2001,English
1779,1975,5958809,16,,140413,Johnny Horton,Country Legend,200 5,English
1780,1976,3526201,1,McIntosh,,Chickasaw Mudd Puppies,White Dirt,1q9 0,English
1781,1977,8710914,24,Wiwi Jumbo (Heaven Sent Mix),32133,川口博史,Bayonetta,2009,Japanese
1782,1978,14021203,12,Con La Mayor Elegancia,236000,Orchestra Harlow,Mega Salsa,2009,Spanish
7600,1979,1679237,8,Oh Women,214600,Paul Young,No Parlez,1983,English
1783,1980,7690927,6,Ink,179960,Communipaw,Moving till the Morning,2 0508,English
1784,1981,9983370,3,Menina Sem Carinho,187000,Odeon,Demo 2010,2010,Portuguese
1785,1982,9683537,1,When I Need You,226000,Carole Bayer Sager,"Ancona Open Ballroom, Volume 3",,English
1786,1983,3357123,10,,172933,Kari Bremnes,Mitt ville hjerte,1987,Danish
1787,1984,14757463,2,Night Terror (original mix),,Just Like Ammy,Child's Play EP,201 3,English
1788,1985,6173944,8,Captain Sunshine,224000,Lee Towers,My Port of Rotterdam,200 3,English
1789,1986,4107528,2,Lord of All Fevers and Plague,,Morbid Angel,"2001-07-19: Long Beach, CA, USA",,English
1029,1987,6042554,1,Granizo,389520,Jazz on the Latin Side Allstars,Tambolero,2007,Spanish
1790,1988,I'll Be There,13,7888168,235680,The Jackson 5,Special Lady,2000,English
1791,1989,7097669,4,,446000,Peter Rowan and Crucial Reggae,"2004-01-04: Culture Room, Ft. Lauderdale, FL, USA",,English
1792,1990,1637368,2,Nature Boy,288373,Lisa Ekdahl,Back to Earth (feat. Peter Nordahl Trio),199&,English
1793,1991,10096383,34,Word (15 second),16000,Thomas Foyer,Electronica,,English
8445,1992,5869327,3,"From the House of the Dead, JW I/11: Act I: II. Today They'll Bring a Gentleman!",136000,Leoš Janáček,"From the House of the Dead, JW I/11 (Czech Philharmonic Orchestra feat. conductor: Václav Neumann)",19a93,English
1794,1993,13024174,69,Psycho & Horror: Vertigo Groove (30 second version),30000,Oliver F. Koelling,Suspense Atmo,,English
1795,1994,11008441,12,The Rain in Spain (My Fair Lady),123000,[soundtrack],The Best of Broadway,,English
8615,1995,11822889,6,The Hooker,176000,Kobra and the Lotus,Out of the Pit,,English
1796,1996,15867016,5,Gonna Change My Way of Thinking,,Bob Dylan,"The Complete Album Collection, Volume One",20 13,English
1550,1997,10,13936065,Time After Time,238000,Suki Ewers,A Mind Expansion Compilation 2,200&,English
1797,1998,13959839,9,"Yes, My Darling Daughter",147000,Glenn Miller,In the Mood,201O,English
1798,1999,2925725,10,Tenderly (Try a Little Tenderness),324706,James Last,Instrumental Magic,,English
1799,2000,14977949,21,Above The Clouds,385000,Fast Distance vs. Dimension,2009-12-03: A State of Trance #433,,English
1800,2001,1385207,12,Now Give Three Cheers,82560,Gilbert & Sullivan,H. M. S. Pinafore (Orchestra & Chorus of the Welsh National Opera feat. conductor: Sir Charles Mackerras),1994,English
1801,2002,8989722,22,Oh Yeah C,30000,Howard A. Thompson,"Hip-Hop Chopshop, Volume 2",,English
1802,2003,14724466,A3,Alone In The Park,,Jerry Goldsmith,A Patch of Blue,1979,English
1803,2004,5672143,1,Funkalific,358800,Ray Anderson,Every One Of Us,1992,English
1804,2005,13402831,4,For Richer for Poorer,290000,Mortal Sin,Face of Despair,1989,English
1805,2006,14280572,14,Repose of Souls,97160,Shiro Sagisu,Nadia: The Secret of Blue Water OST 3,2003,Japanese
1806,2007,Julie London,12,Love Letters,171533,12282427,The Best... and Friends Album in the World ...Ever! Volume 2,Z000,English
1807,2008,7180997,19,Lawn Chairs,211573,Our Daughter’s Wedding,The Mix Tapes,2008,English
1808,2009,8655952,6,Some(M).,161000,Pierre Perret,Humour et Tendresse,,French
1809,2010,2038142,12,Concerto for Piano Nº 2 in A Major: III. Allegro moderato,300066,Franz Liszt,Piano Concertos (Richard Frank),,English
1810,2011,11717378,6,Watch the Sun Come Up (Fred Falke remix),492000,Example,Won’t Go Quietly,2010,English
7578,2012,7811676,13,"Kleiner Vogel, flieg",198906,Mühlenhof Musikanten,Das Beste: Das große Fest der Volksmusik,,German
1811,2013,15059044,5,CD 3 - Kapitel 05,529000,Bernhard Schlink,Selbs Betrug, ,German
1812,2014,16247122,4,Jack's Kinda Swing,218548,"Al Cohn, Joe Newman, Freddie Green",Mosaic Select 27,2007,English
4770,2015,7743930,4,,624000,La ciapa rusa,Retanavota, ,Italian
1813,2016,15547465,11,Voit pois jo mennä...,130875,Marita Antsola,Lauluja,2013,Finnish
1814,2017,2711563,13,,322453,Tassilli Players,2000 - An Atlas Of The World In Dub,,English
1815,2018,8063754,4,Shout,393000,Tears for Fears,Just Can't Get Enough (disc 1),1995,English
1816,2019,11391207,9,How Long Has This Been Going On?,249000,Judy Garland,Judy at Carnegie Hall,1989,English
1817,2020,12788164,13,Mchizi Wangu,225000,Young Dee,Fiesta Jipanguse,,Swahili
1818,2021,10192193,12,Ziemsvētku Dziesma,395306,Pēteris Aldiņš,Christmas in Latvia,1996,Latvian
1819,2022,6616513,65,Rollercoaster,57466,[no artist],"Fun! With Sound Effects, Volume 3", ,English
1820,2023,11760224,10,C.R.Y.,225946,Van Der Karsten,Trancemaster 4003,2004,English
1821,2024,8626335,11,Bei mir bist du schön,191240,Schnuckenack Reinhardt,Schnuckenack live,,[Multiple languages]
1822,2025,4475102,24,,20000,Bass Mekanik,Sound Off,2001,English
1823,2026,3269408,13,Glorious 9th,246586,Major Accident,Clockwork Heroes: The Best of Major Accident,1994,English
1824,2027,211480,5,Think,172400,James Brown,JB40: 40th Anniversary Collection,1996,English
1825,2028,13989301,3,砂漠,,人生,顔として…,,Japanese
1826,2029,3009353,3,Gib mir 1 Monitor,178400,Die Allwissende Billardkugel,Polaroids aus Amnesia,,
1827,2030,7862426,7,Some(K).,189480,Haiku Fristajl,Haiku Fristajl,2006,Polish
1828,2031,2974173,6,Le Rapid' blanc,170066,Marcel Amont,Les Plus Grands Succès,1994,French
1829,2032,7766989,1,Wir werden immer grösser,83000,Jürgen Schöntges & Freunde,Freche Lieder - Liebe Lieder (Folge 1),,German
1830,2033,11472293,24,,131000,Hannah Naiman,Savez-vous planter des choux?,,
1831,2034,14389667,1,Some(G).,81000,Girl's Day,Expectation,2013,Korean
1832,2035,10430918,11,I Wanna Be Me,178293,Sex Pistols,Live and Loud!,1989,English
1833,2036,5717894,1,Some(J).,427000,Hampton Hawes,All Night Session,,English
2603,2037,1719587,10,Moodbird,442866,Larry Goldings,Organ-Ized: All-Star Tribute to the Hammond B3 Organ,2000,English
1834,2038,16183168,2,Some(C).,180000,Jessica Hernandez & The Deltas,Demons,,English
1835,2039,226150,3,Driver's Seat,238000,Sniff 'n' the Tears,"Easy Livin' - Rock of the Seventies, Volume 2",z,English
1836,2040,The Retrofits,9,While I Still Can,251000,11165435,Away From Here, ,English
1837,2041,4499557,3,Fields of Athenry,312000,Celtic Pirates,Shakedown,2006,English
1838,2042,11509698,16,Las Vegas in the Hills of Donegal,225360,Goats Don't Shave,Heartlands,1992,English
1839,2043,3480566,8,F**k Like a Beast,189306,W.A.S.P.,Hollywood Rocks!,,English
1840,2044,359000,4,Cascavelo,11270973,Henry Johnson,Organic,,English
1841,2045,9000439,75,Noel Lounge C,30000,[unknown],"The Christmas Collection, Volume 3",,English
1842,2046,5357391,10,Memories of You,211000,Clifford Brown & Max Roach,Clifford Brown & Max Roach,,English
1843,2047,8737814,6,Soy un corazón tendido al sol,265000,Víctor Manuel,La paloma / Luna,2000,Spanish
1844,2048,5167958,2,Going Down,213000,Everything on Black,Stain, 2006,English
1845,2049,3865549,11,Do You Believe In Magic?,236200,Cymbals,requests!,,Japanese
1846,2050,14762314,Alcanzarás La Luna,Tómame,215413,Alazán,6,2000,Spanish
